Dia looking for high dia master,Under lvl 15 looking for people to partner with,0.6166059652791673
Dia looking for high dia master,Silver 4 looking for duo,0.5711924722202263
Dia looking for high dia master,Support/Mid D5 loooking for adc,0.49813895008130615
Dia looking for high dia master,Looking for friends,0.5842791918181266
Dia looking for high dia master,LF friends to learn/play from,0.5024232094136515
Dia looking for high dia master,Support main lf duo unranked,0.4152961655600331
Dia looking for high dia master,Furry improving on league,0.4638685514617825
Dia looking for high dia master,Crappy support/mid looking for people to play with,0.6106766956378469
Dia looking for high dia master,looking for braum support for kled,0.5720621400591971
Dia looking for high dia master,Silver 1 75% ER lloking to duo to gold or higher,0.5637600147385528
Dia looking for high dia master,LF cool friends,0.46728548601133935
Dia looking for high dia master,Gold 1 ADC looking for low plat/high hold support duo,0.636322536482437
Dia looking for high dia master,"Support main, lf someone around plat v to duo with",0.5741505938019837
Dia looking for high dia master,Gold 3 looking for duo to climb,0.6068678153651987
Dia looking for high dia master,Looking for someone nice/competent,0.596398090418739
Dia looking for high dia master,"Playing all night, looking for nami/lul",0.5847427634016632
Dia looking for high dia master,dia smurfs only,0.7007499936958456
Dia looking for high dia master,looking for adc main,0.5757600438398943
Dia looking for high dia master,"plat+, is support name",0.48114591182783906
Dia looking for high dia master,is jungle main,0.4879896273400972
Dia looking for high dia master,looking for non toxic player to win lane,0.6204688557827607
Dia looking for high dia master,Looking for a fun duo partner,0.6048866539461345
Dia looking for high dia master,Jayce mid one trick,0.42829609012436365
Dia looking for high dia master,looking to climb and have fun,0.580440365403489
Dia looking for high dia master,"vayne otp looking for a thresh otp for a diamond rush before season ends,",0.6038497322656351
Dia looking for high dia master,Someone who wants to play a solid amount of games and climb. Aggressive Support Leona Main Smurfs Welcome,0.6222434861221866
Dia looking for high dia master,HELP ME CARRY PLEASE I need gold before season ends,0.6021783199247354
Dia looking for high dia master,"Looking for serious, commited, duo partner with good cs to climb with till end of season",0.638510064147343
Dia looking for high dia master,looking far an adc that know what he's doing !!!,0.6093408630167413
Dia looking for high dia master,Looking for main ADC Gold V+ to try and climb to Platinum. I mainly play Leona but I can play Thresh and Blitzcrank too,0.6240857152163005
Dia looking for high dia master,Was high plat last season. Im trying to get back on my old level of play after a very long break.,0.6465656744308469
Dia looking for high dia master,Looking for yasuo adc. Knockup support main.,0.5984241260110705
Dia looking for high dia master,Looking to get to platinum before the end of the season with someone,0.5844602460261981
Dia looking for high dia master,Looking for a duo GOLD 3 and higher to climb. Add me have a mic please. Play to win,0.6598857984004384
Dia looking for high dia master,I need help getting to Silver. I play like silver just stuck in bronze. Need someone to climb with,0.6164479124313396
Dia looking for high dia master,LOOKING FOR SUPPORT TO DUO WITH ALL NIGHT FAST FAST FAST,0.6205343500149967
Dia looking for high dia master,"Tryhard platinum before end season Someone who understands late game,teamfighting,splitpushing, doesnt tilt from feeding",0.5709051927498164
